external_target_observation_id,source_id,laboratory_anchor,canonical_accession,biological_unit_id,measurement_batch_id,technical_replicate_count,source_coordinates,author_positive_values,rank_percentile_mean_across_positive_technical_replicates,measurement_batch_positive_unique_target_count,coverage_stratum
R4PXD064962:PT_D1_73:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_73,PT_D1_73,2,LFQ intensity PT_D1_73_1_S1-A3_6645:160;LFQ intensity PT_D1_73_2_S1-B3_6646:160,550830.0;619720.0,0.6158119658119658,9,GE5_LT10
R4PXD064962:PT_D1_73:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_73,PT_D1_73,2,LFQ intensity PT_D1_73_1_S1-A3_6645:178;LFQ intensity PT_D1_73_2_S1-B3_6646:178,3334800.0;3272000.0,0.8574980574980575,9,GE5_LT10
R4PXD064962:PT_D1_73:P07996,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_73,PT_D1_73,2,LFQ intensity PT_D1_73_1_S1-A3_6645:202;LFQ intensity PT_D1_73_2_S1-B3_6646:202,16343.0;17572.0,0.03566433566433566,9,GE5_LT10
R4PXD064962:PT_D1_73:P09493,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P09493,PT_D1_73,PT_D1_73,2,LFQ intensity PT_D1_73_1_S1-A3_6645:322;LFQ intensity PT_D1_73_2_S1-B3_6646:322,4482.6;4411.5,0.017793317793317796,9,GE5_LT10
R4PXD064962:PT_D1_73:P13796,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P13796,PT_D1_73,PT_D1_73,1,LFQ intensity PT_D1_73_1_S1-A3_6645:241,16199.0,0.025252525252525252,9,GE5_LT10
R4PXD064962:PT_D1_73:P26038,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P26038,PT_D1_73,PT_D1_73,1,LFQ intensity PT_D1_73_1_S1-A3_6645:274,24308.0,0.06565656565656566,9,GE5_LT10
R4PXD064962:PT_D1_73:Q04695,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q04695,PT_D1_73,PT_D1_73,2,LFQ intensity PT_D1_73_1_S1-A3_6645:51;LFQ intensity PT_D1_73_2_S1-B3_6646:51,363.42;518.21,0.0,9,GE5_LT10
R4PXD064962:PT_D1_73:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_73,PT_D1_73,2,LFQ intensity PT_D1_73_1_S1-A3_6645:385;LFQ intensity PT_D1_73_2_S1-B3_6646:385,31259.0;42058.0,0.12229992229992229,9,GE5_LT10
R4PXD064962:PT_D1_81:P04004,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04004,PT_D1_81,PT_D1_81,2,LFQ intensity PT_D1_81_1_S1-C3_6661:149;LFQ intensity PT_D1_81_2_S1-D3_6662:149,2346700.0;2325000.0,0.8134206219312603,8,GE5_LT10
R4PXD064962:PT_D1_81:P04264,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P04264,PT_D1_81,PT_D1_81,2,LFQ intensity PT_D1_81_1_S1-C3_6661:160;LFQ intensity PT_D1_81_2_S1-D3_6662:160,56744.0;36425.0,0.13704115033902267,8,GE5_LT10
R4PXD064962:PT_D1_81:P06396,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P06396,PT_D1_81,PT_D1_81,2,LFQ intensity PT_D1_81_1_S1-C3_6661:178;LFQ intensity PT_D1_81_2_S1-D3_6662:178,3119400.0;2934500.0,0.8458615852232874,8,GE5_LT10
R4PXD064962:PT_D1_81:P07996,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P07996,PT_D1_81,PT_D1_81,2,LFQ intensity PT_D1_81_1_S1-C3_6661:202;LFQ intensity PT_D1_81_2_S1-D3_6662:202,132010.0;110660.0,0.3483458031330372,8,GE5_LT10
R4PXD064962:PT_D1_81:P09493,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P09493,PT_D1_81,PT_D1_81,2,LFQ intensity PT_D1_81_1_S1-C3_6661:322;LFQ intensity PT_D1_81_2_S1-D3_6662:322,4225.4;5741.8,0.010901332709843349,8,GE5_LT10
R4PXD064962:PT_D1_81:P11021,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P11021,PT_D1_81,PT_D1_81,1,LFQ intensity PT_D1_81_1_S1-C3_6661:229,11572.0,0.02127659574468085,8,GE5_LT10
R4PXD064962:PT_D1_81:P30041,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,P30041,PT_D1_81,PT_D1_81,2,LFQ intensity PT_D1_81_1_S1-C3_6661:283;LFQ intensity PT_D1_81_2_S1-D3_6662:283,105120.0;51166.0,0.2311783960720131,8,GE5_LT10
R4PXD064962:PT_D1_81:Q9HDC9,PXD064962_UCD_EVENT,University College Dublin / Conway Institute,Q9HDC9,PT_D1_81,PT_D1_81,2,LFQ intensity PT_D1_81_1_S1-C3_6661:385;LFQ intensity PT_D1_81_2_S1-D3_6662:385,50151.0;61841.0,0.17611643675473462,8,GE5_LT10
